open,high,low,close,percent_change,turnover,date
4058.37,4078.26,3982.71,3991.56,-1.38,248866968.80,2023-12-24
3983.30,4033.96,3949.05,3979.27,-0.30,236139949.70,2023-12-27
3975.86,4011.76,3944.92,3946.50,-0.73,162385822.00,2023-12-28
3953.43,4031.83,3944.49,3950.70,0.10,198231066.00,2024-01-01
3954.81,3977.03,3882.72,3897.15,-1.35,133320347.00,2024-01-02
3914.17,3944.09,3894.66,3943.94,1.12,114971007.10,2024-01-03
3957.82,3973.99,3911.46,3911.46,-0.82,140789261.80,2024-01-04
3901.22,3940.23,3855.77,3865.17,-1.18,146308197.60,2024-01-07
3865.17,3957.18,3860.55,3953.30,2.28,134003772.50,2024-01-08
3952.40,4201.57,3952.40,4159.36,5.21,455643869.60,2024-01-09
4180.41,4240.54,4129.01,4139.73,-0.47,405706217.30,2024-01-10
4139.73,4151.32,4083.96,4101.29,-0.92,140063384.60,2024-01-11
4114.73,4182.05,4114.73,4152.28,1.24,199384436.70,2024-01-14
4161.02,4289.47,4161.02,4261.85,2.63,393840571.70,2024-01-16
4287.99,4426.60,4253.77,4270.25,0.19,793525476.10,2024-01-17
4286.96,4289.86,4220.36,4242.18,-0.65,360206251.20,2024-01-18
4237.73,4241.44,4126.95,4131.29,-2.61,348736023.40,2024-01-21
4131.29,4156.81,4038.62,4067.57,-1.54,192239926.00,2024-01-22
4077.41,4128.78,4040.71,4070.49,0.07,127812100.90,2024-01-23
