#,Ticker,Name,Listing_Date,Window_End,Timeframe,Listing_Price,End_Price,Total_Return_%
142,BHL,Balephi Hydropower Limited,5/25/22,5/25/23,1 year,110.9,293.9,169.52
143,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,5/27/22,5/27/23,1 year,1259.9,1351,75.5
144,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,6/13/22,6/13/23,1 year,382.2,1289,357.9
145,RFPL,River Falls Power Limited,6/16/22,6/16/23,1 year,290.2,285,-2.79
146,DORDI,Dordi Khola Hydropower Company Limited,7/14/22,7/14/23,1 year,315,245,-21.62
147,KDBY,Kumari Dhanabriddhi Yojana,7/27/22,7/27/23,1 year,9,9.3,3.33
148,BHDC,Bindhyabasini Hydropower Development Company Limited,7/28/22,7/28/23,1 year,367.4,358.6,4.04
149,HHL,Himalayan Hydropower Limited,8/8/22,8/8/23,1 year,250.8,219.8,-12.36
150,HEI,Himalayan Everest Insurance Limited,8/10/22,8/10/23,1 year,459.5,598,33.75
151,UHEWA,Upper Hewakhola Hydropower Company Limited,8/11/22,8/11/23,1 year,143.2,307.8,116.2
152,RIDI,Ridi Power Company Limited,8/15/22,8/15/23,1 year,637.8,211.2,-53.31
153,MHL,Mandakini Hydropower Limited,8/17/22,8/17/23,1 year,261,279.9,9.16
154,SGHC,Ganga Hydropower & Construction Limited,8/17/22,8/17/23,1 year,295.9,223.6,-24.43
155,USHEC,Upper Solu Hydro Electric Company Limited,8/17/22,8/17/23,1 year,357,235.8,-33.95
156,RHGCL,Rapti Hydro & General Construction Limited,8/31/22,8/31/23,1 year,322.1,204,-36.04
157,NICFC,NIC Asia Flexi Cap Fund,9/12/22,9/12/23,1 year,10,8.01,-19.9
158,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,9/25/22,9/25/23,1 year,347.6,673,93.61
159,GIBF1,I,9/28/22,9/28/23,1 year,9,8.51,-5.56
160,PPL,People's Power Limited,10/16/22,10/16/23,1 year,255.7,214,-16.31
161,SPHL,Sayapatri Hydropower Limited,10/17/22,10/17/23,1 year,214.2,516.1,140.94
162,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,10/23/22,10/23/23,1 year,179.7,618,250.58
163,SIKLES,Sikles Hydropower Limited,11/15/22,11/15/23,1 year,321,345.3,8.26
164,EHPL,Eastern Hydropower Limited,12/14/22,12/14/23,1 year,237.6,348,46.46
165,PHCL,Peoples Hydropower Company Limited,12/14/22,12/14/23,1 year,270,269.3,-0.26
166,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,12/20/22,12/20/23,1 year,996.6,1031,3.45
167,BHPL,Barahi Hydropower Public Limited,1/4/23,1/4/24,1 year,213.7,443,107.3
168,SGIC,Sanima GIC Insurance Limited,1/23/23,1/23/24,1 year,404.2,549.9,36.05
169,SJLIC,SuryaJyoti Life Insurance Company Limited,1/25/23,1/25/24,1 year,408.7,512,25.28
170,NIMB,Nepal Investment Mega Bank Limited,2/23/23,2/23/24,1 year,216,163.9,-23.15
171,UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,2/28/23,2/28/24,1 year,989.4,1222.3,23.54
172,SMHL,Super Madi Hydropower Limited,3/5/23,3/5/24,1 year,328.9,445.2,35.97
173,SPL,Shuvam Power Limited,3/7/23,3/7/24,1 year,291.5,664,127.79
174,MKHC,Maya Khola Hydropower Company Limited,3/22/23,3/22/24,1 year,292,290,-2.05
175,KDL,Kalinchowk Darshan Limited,3/23/23,3/23/24,1 year,139.7,775,465.5
176,AHL,Asian Hydropower Limited,3/23/23,3/23/24,1 year,328.6,427,32.99
177,SMH,Supermai Hydropower  Limited,3/27/23,3/27/24,1 year,430.1,678,57.64
178,SPIL,Siddhartha Premier Insurance Limited,4/4/23,4/4/24,1 year,573.9,737.9,30.49
179,TAMOR,Sanima Middle Tamor Hydropower Limited,4/10/23,4/10/24,1 year,324.5,384.3,18.43
180,MHCL,Molung Hydropower Company Limited,4/13/23,4/13/24,1 year,155.1,417,173.37
181,SMJC,Sagarmatha Jalbidhyut Company Limited,4/13/23,4/13/24,1 year,340,387.9,12.94
182,ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,5/2/23,5/2/24,1 year,436.9,1997,403.94
183,MAKAR,Makar Jitumaya Suri Hydropower Company Limited,5/7/23,5/7/24,1 year,255,351.9,38
184,SALICO,Sagarmatha Lumbini Insurance Company Limited,5/15/23,5/15/24,1 year,560.5,692.2,24.39
185,MKHL,Mai Khola Hydropower Limited,5/16/23,5/16/24,1 year,301.5,408,35.32
