symbol,listing_date,end_date,years,start_price,ltp,initial_investment,total_units,market_value,cash_dividends,right_share_cost,total_invested,total_value,cagr_pct
UAIL,2023-07-17,2026-05-08,2.81,538.40,453.00,100000,225.27,102048.95,208.10,0.00,100000.00,102257.05,0.80
ILI,2023-08-06,2026-05-08,2.75,582.40,437.50,100000,214.63,93900.24,7003.68,0.00,100000.00,100903.92,0.33
PMLI,2023-12-19,2026-05-08,2.38,589.00,469.00,100000,209.77,98380.12,1059.63,0.00,100000.00,99439.75,-0.24
NICAD2091,2025-10-07,2026-05-07,0.58,1050.00,1047.00,100000,95.24,99714.29,0.00,0.00,100000.00,99714.29,-0.49
MEL,2023-07-05,2026-05-08,2.84,243.00,236.30,100000,411.52,97242.80,0.00,0.00,100000.00,97242.80,-0.98
NABILD2089,2025-11-16,2026-05-08,0.47,1069.00,1060.00,100000,93.55,99158.09,0.00,0.00,100000.00,99158.09,-1.77
NIMB,2023-02-23,2026-05-08,3.20,216.00,199.70,100000,462.96,92453.70,0.00,0.00,100000.00,92453.70,-2.42
NMLBBL,2024-05-19,2026-05-08,1.97,646.60,612.00,100000,154.66,94648.93,0.00,0.00,100000.00,94648.93,-2.76
RBBF40,2026-01-18,2026-05-08,0.30,9.43,9.33,100000,10604.45,98939.55,0.00,0.00,100000.00,98939.55,-3.48
GBIMESY2,2025-08-28,2026-05-08,0.69,10.00,9.30,100000,10000.00,93000.00,0.00,0.00,100000.00,93000.00,-9.95
HLICF,2025-11-05,2026-05-08,0.50,9.70,9.20,100000,10309.28,94845.36,0.00,0.00,100000.00,94845.36,-9.97
SMPDA,2024-08-18,2026-05-08,1.72,1162.70,840.00,100000,86.01,72245.64,0.00,0.00,100000.00,72245.64,-17.23
MATRI,2024-08-13,2026-05-08,1.73,1406.20,900.00,100000,71.11,64002.28,0.00,0.00,100000.00,64002.28,-22.70
